EID	Peak_group	Elements	Proportion of elements
E040	Typical peaks	5' UTR	0.80787086491227
E040	Typical peaks	exon	1.9021394927605
E040	Typical peaks	Intergenic	48.426141095594
E040	Typical peaks	intron	37.1879453393751
E040	Typical peaks	non-coding	0.822332260751047
E040	Typical peaks	promoter-TSS	9.16196728825359
E040	Typical peaks	TTS	1.07607971231831
E037	Peaks in long LOCKs	3' UTR	1.58027742128778
E037	Peaks in long LOCKs	5' UTR	0.505491170164257
E037	Peaks in long LOCKs	exon	1.92219388072427
E037	Peaks in long LOCKs	Intergenic	46.4600691118702
E037	Peaks in long LOCKs	intron	37.6015700328998
E037	Peaks in long LOCKs	non-coding	1.22321186452424
E037	Peaks in long LOCKs	promoter-TSS	7.68282250517913
E037	Peaks in long LOCKs	TTS	3.0243640133504
E037	Peaks in short LOCKs	3' UTR	1.87859230526853
E037	Peaks in short LOCKs	5' UTR	0.397485069410491
E037	Peaks in short LOCKs	exon	1.74458822719848
E037	Peaks in short LOCKs	Intergenic	40.1374809406362
E037	Peaks in short LOCKs	intron	40.3750665493226
E037	Peaks in short LOCKs	non-coding	1.09792800721449
E037	Peaks in short LOCKs	promoter-TSS	11.3570267030289
E037	Peaks in short LOCKs	TTS	3.0118321979204
E037	Typical peaks	3' UTR	0.727321296307539
E037	Typical peaks	5' UTR	0.333684446980827
E037	Typical peaks	exon	1.31713151280401
E037	Typical peaks	Intergenic	50.6389104751266
E037	Typical peaks	intron	37.1877162839831
E037	Typical peaks	non-coding	0.659552314921622
E037	Typical peaks	promoter-TSS	8.08947630438214
E037	Typical peaks	TTS	1.04620736549413
E048	Peaks in long LOCKs	3' UTR	1.60911183553058
E048	Peaks in long LOCKs	5' UTR	0.503007087531372
E048	Peaks in long LOCKs	exon	2.29726608805912
E048	Peaks in long LOCKs	Intergenic	45.1688185913238
E048	Peaks in long LOCKs	intron	37.2831459945221
E048	Peaks in long LOCKs	non-coding	1.29662257929114
E048	Peaks in long LOCKs	promoter-TSS	8.92662038246525
E048	Peaks in long LOCKs	TTS	2.91540744127667
E048	Peaks in short LOCKs	3' UTR	1.92006012955299
