group	size_bp	percent	EID
H3K27me3 only	25828962	0.956628222222222	E097
both	932726	0.0345454074074074	E097
H3K9me3 only	18555721	0.687248925925926	E097
H3K27me3 only	16882646	0.625283185185185	E087
both	68020	0.00251925925925926	E087
H3K9me3 only	8752724	0.324174962962963	E087
H3K27me3 only	132777080	4.91766962962963	E080
both	10400438	0.385201407407407	E080
H3K9me3 only	72396075	2.68133611111111	E080
H3K27me3 only	39469453	1.46183159259259	E091
both	1754440	0.0649792592592593	E091
H3K9me3 only	50954549	1.88720551851852	E091
H3K27me3 only	23483561	0.869761518518519	E066
both	2181791	0.0808070740740741	E066
H3K9me3 only	73241005	2.71262981481481	E066
H3K27me3 only	6234471	0.230906333333333	E098
both	652525	0.0241675925925926	E098
H3K9me3 only	53627691	1.98621077777778	E098
H3K27me3 only	15053694	0.557544222222222	E096
both	3626930	0.134330740740741	E096
H3K9me3 only	79544383	2.94608825925926	E096
H3K27me3 only	9577785	0.354732777777778	E113
both	2488118	0.0921525185185185	E113
H3K9me3 only	59175943	2.19170159259259	E113
H3K27me3 only	4329114	0.160337555555556	E116
both	99799	0.00369625925925926	E116
H3K9me3 only	19075335	0.706493888888889	E116
H3K27me3 only	47680967	1.76596174074074	E119
both	743718	0.0275451111111111	E119
H3K9me3 only	65632936	2.43084948148148	E119
H3K27me3 only	31557463	1.16879492592593	E120
both	170837	0.0063272962962963	E120
H3K9me3 only	3524432	0.130534518518519	E120
H3K27me3 only	136008733	5.03736048148148	E121
both	4162009	0.154148481481481	E121
H3K9me3 only	25917115	0.959893148148148	E121
H3K27me3 only	79251376	2.93523614814815	E122
both	88834	0.00329014814814815	E122
H3K9me3 only	48237768	1.786584	E122
H3K27me3 only	95607645	3.54102388888889	E124
both	11309656	0.418876148148148	E124
H3K9me3 only	93549751	3.46480559259259	E124
H3K27me3 only	61592157	2.281191	E125
both	1628981	0.0603326296296296	E125
H3K9me3 only	32144683	1.19054381481481	E125
H3K27me3 only	18970452	0.702609333333333	E126
both	14978	0.000554740740740741	E126
H3K9me3 only	2484365	0.0920135185185185	E126
H3K27me3 only	88155443	3.26501640740741	E127
both	1083224	0.0401194074074074	E127
H3K9me3 only	32386224	1.19948977777778	E127
H3K27me3 only	49037762	1.81621340740741	E128
both	34794	0.00128866666666667	E128
H3K9me3 only	2611146	0.0967091111111111	E128
H3K27me3 only	101652867	3.764921	E129
both	697481	0.0258326296296296	E129
H3K9me3 only	31370418	1.16186733333333	E129
