EID	MD_anno	TSG_OG_anno	OgOrTsgToAllGenes
E062	I	OG	0.0593023255813954
E062	I	TSG	0.0244186046511628
E065	I	OG	0.0656610470275066
E065	I	TSG	0.0248447204968944
E066	I	OG	0.0653753026634383
E066	I	TSG	0.0242130750605327
E070	I	OG	0.0608465608465608
E070	I	TSG	0.0264550264550265
E071	I	OG	0.0657439446366782
E071	I	TSG	0.0259515570934256
E079	I	OG	0.0652173913043478
E079	I	TSG	0.0193236714975845
E082	I	OG	0.0737704918032787
E082	I	TSG	0.0327868852459016
E084	I	OG	0.0672
E084	I	TSG	0.024
E085	I	OG	0.0656814449917898
E085	I	TSG	0.0279146141215107
E087	I	OG	0.05625
E087	I	TSG	0.0203125
E094	I	OG	0.0699919549477072
E094	I	TSG	0.0225261464199517
E095	I	OG	0.0746887966804979
E095	I	TSG	0.0221300138312586
E096	I	OG	0.0645695364238411
E096	I	TSG	0.0248344370860927
E097	I	OG	0.0657108721624851
E097	I	TSG	0.022700119474313
E098	I	OG	0.0626587637595258
E098	I	TSG	0.0262489415749365
E100	I	OG	0.0679886685552408
E100	I	TSG	0.0226628895184136
E104	I	OG	0.0665680473372781
E104	I	TSG	0.0251479289940828
E105	I	OG	0.0586907449209932
E105	I	TSG	0.0248306997742664
E106	I	OG	0.0600414078674948
E106	I	TSG	0.0217391304347826
E109	I	OG	0.0656136087484812
E109	I	TSG	0.0194410692588092
E112	I	OG	0.0556844547563805
E112	I	TSG	0.0278422273781903
E113	I	OG	0.0611995104039168
E113	I	TSG	0.0232558139534884
E116	I	OG	0.0642023346303502
E116	I	TSG	0.0330739299610895
E119	I	OG	0.0751708428246014
E119	I	TSG	0.0273348519362187
E120	I	OG	0.0625954198473282
E120	I	TSG	0.0259541984732824
E122	I	OG	0.0665467625899281
E122	I	TSG	0.0305755395683453
E127	I	OG	0.0710571923743501
E127	I	TSG	0.024263431542461
E128	I	OG	0.0673400673400673
E128	I	TSG	0.0303030303030303
E004	L	OG	0.0740740740740741
E004	L	TSG	0.0257201646090535
E005	L	OG	0.0634715025906736
E005	L	TSG	0.0181347150259067
E006	L	OG	0.0476190476190476
E006	L	TSG	0.0170068027210884
E007	L	OG	0.083756345177665
E007	L	TSG	0.032994923857868
E011	L	OG	0.0738341968911917
E011	L	TSG	0.0284974093264249
E012	L	OG	0.0523415977961433
E012	L	TSG	0.0192837465564738
E013	L	OG	0.0726392251815981
E013	L	TSG	0.0254237288135593
E027	L	OG	0.0721311475409836
E027	L	TSG	0.0229508196721311
E028	L	OG	0.0691144708423326
E028	L	TSG	0.0345572354211663
E037	L	OG	0.0841248303934871
E037	L	TSG	0.0352781546811398
E038	L	OG	0.0827783063748811
E038	L	TSG	0.0380589914367269
E047	L	OG	0.0839964633068081
E047	L	TSG	0.0291777188328912
