gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
MYH1	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
MYH2	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
SHISA6	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
DNAH9	Shared LOCKs	common PMDs	-1.00254909644141	NE2_KYSE510.T	KYSE510	-1.00254909644141
LINC00670	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
MYOCD	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
MYOCD-AS1	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
ARHGAP44-AS1	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
ARHGAP44	Tumor-gain LOCKs	common PMDs	-0.791828185928505	NE2_KYSE510.T	KYSE510	-0.791828185928505
MIR1269B	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC02093	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CDRT7	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CDRT8	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CDRT15L2	Tumor-loss LOCKs	common PMDs	-0.966382328614461	NE2_KYSE510.T	KYSE510	-0.966382328614461
LINC02088	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CCDC144NL	Tumor-loss LOCKs	common PMDs	-0.9467235128105	NE2_KYSE510.T	KYSE510	-0.9467235128105
KCNJ18	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
ASIC2	Tumor-gain LOCKs	common PMDs	-0.785834090218539	NE2_KYSE510.T	KYSE510	-0.785834090218539
AA06	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC01989	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CCL7	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CCL11	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CCL8	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CCL13	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CCL1	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
TMEM132E	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
SLFN11	Tumor-loss LOCKs	common PMDs	0.805883606855127	NE2_KYSE510.T	KYSE510	0.805883606855127
SLFN12	Tumor-loss LOCKs	common PMDs	0.386415851101005	NE2_KYSE510.T	KYSE510	0.386415851101005
SLFN13	Tumor-loss LOCKs	common PMDs	-0.755856452998628	NE2_KYSE510.T	KYSE510	-0.755856452998628
RDM1	Tumor-loss LOCKs	common PMDs	0.483877301700223	NE2_KYSE510.T	KYSE510	0.483877301700223
LYZL6	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CCL16	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CCL14	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CCL15-CCL14	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CCL15	Shared LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
MRM1	Tumor-loss LOCKs	common PMDs	1.22580354787637	NE2_KYSE510.T	KYSE510	1.22580354787637
KRT25	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
KRT26	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
KRT27	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
KRT28	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
SKAP1	Tumor-loss LOCKs	common PMDs	-0.959463310444515	NE2_KYSE510.T	KYSE510	-0.959463310444515
DLX4	Tumor-loss LOCKs	common PMDs	-0.151813704736491	NE2_KYSE510.T	KYSE510	-0.151813704736491
DLX3	Tumor-loss LOCKs	common PMDs	0.270592660784245	NE2_KYSE510.T	KYSE510	0.270592660784245
LINC02073	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
CA10	Tumor-gain LOCKs	common PMDs	-0.995288026337797	NE2_KYSE510.T	KYSE510	-0.995288026337797
LINC01982	Tumor-gain LOCKs	common PMDs	-0.884552386112994	NE2_KYSE510.T	KYSE510	-0.884552386112994
PCTP	Tumor-gain LOCKs	common PMDs	0.255660109406946	NE2_KYSE510.T	KYSE510	0.255660109406946
ANKFN1	Tumor-gain LOCKs	common PMDs	-0.941245271125085	NE2_KYSE510.T	KYSE510	-0.941245271125085
