gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
PLPP4	Tumor-gain LOCKs	common PMDs	-0.970840589191402	NE2_KYSE450.T	KYSE450	-0.970840589191402
LINC01561	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
C10orf120	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
DMBT1L1	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
CUZD1	Tumor-loss LOCKs	common PMDs	-0.264365315700019	NE2_KYSE450.T	KYSE450	-0.264365315700019
FAM24B	Tumor-loss LOCKs	common PMDs	-0.0144219511104875	NE2_KYSE450.T	KYSE450	-0.0144219511104875
C10orf88B	Tumor-loss LOCKs	common PMDs	0.476009879236897	NE2_KYSE450.T	KYSE450	0.476009879236897
LINC02641	Shared LOCKs	common PMDs	-0.95889990809127	NE2_KYSE450.T	KYSE450	-0.95889990809127
GPR26	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
CPXM2	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
TEX36-AS1	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
TEX36	Tumor-loss LOCKs	common PMDs	-0.78562598097283	NE2_KYSE450.T	KYSE450	-0.78562598097283
LINC01163	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC02667	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MIR378C	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
TCERG1L	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
TCERG1L-AS1	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC01164	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
JAKMIP3	Tumor-gain LOCKs	common PMDs	-0.926898858687725	NE2_KYSE450.T	KYSE450	-0.926898858687725
DPYSL4	Tumor-gain LOCKs	common PMDs	-0.666570170811608	NE2_KYSE450.T	KYSE450	-0.666570170811608
CFAP46	Tumor-gain LOCKs	common PMDs	-0.869932315167437	NE2_KYSE450.T	KYSE450	-0.869932315167437
LINC01166	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC01167	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC01168	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
ADGRA1-AS1	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MUC2	Tumor-loss LOCKs	common PMDs	-0.995840303820477	NE2_KYSE450.T	KYSE450	-0.995840303820477
MUC5AC	Shared LOCKs	common PMDs	-0.996564295250201	NE2_KYSE450.T	KYSE450	-0.996564295250201
LSP1	Tumor-loss LOCKs	common PMDs	-0.871662225332691	NE2_KYSE450.T	KYSE450	-0.871662225332691
MIR4298	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC01150	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
TNNT3	Tumor-loss LOCKs	common PMDs	0.213658348339859	NE2_KYSE450.T	KYSE450	0.213658348339859
MRPL23	Tumor-loss LOCKs	common PMDs	1.29556074818836	NE2_KYSE450.T	KYSE450	1.29556074818836
MRPL23-AS1	Tumor-loss LOCKs	common PMDs	-0.68486915542484	NE2_KYSE450.T	KYSE450	-0.68486915542484
LINC01219	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
SLC22A18	Tumor-loss LOCKs	common PMDs	0.301192371783742	NE2_KYSE450.T	KYSE450	0.301192371783742
PHLDA2	Tumor-loss LOCKs	common PMDs	1.12629065156957	NE2_KYSE450.T	KYSE450	1.12629065156957
SNORA54	Tumor-loss LOCKs	common PMDs	0.551699537723342	NE2_KYSE450.T	KYSE450	0.551699537723342
OR52K2	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR52K1	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR51D1	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR51E1	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR51E2	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR51C1P	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MMP26	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR51F1	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR52R1	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR51F2	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR51S1	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR51H1	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR51T1	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR51A7	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR51G2	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR51G1	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR51A4	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR51A2	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
CALCA	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
CALCB	Tumor-loss LOCKs	common PMDs	-0.963372269568623	NE2_KYSE450.T	KYSE450	-0.963372269568623
LINC02729	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MRGPRX1	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
SLC6A5	Shared LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
NELL1	Tumor-gain LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC01616	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
KCNA4	Tumor-loss LOCKs	common PMDs	-0.987139451686108	NE2_KYSE450.T	KYSE450	-0.987139451686108
FSHB	Tumor-loss LOCKs	common PMDs	-0.910546503679574	NE2_KYSE450.T	KYSE450	-0.910546503679574
MPPED2	Tumor-loss LOCKs	common PMDs	0.911149438177358	NE2_KYSE450.T	KYSE450	0.911149438177358
MPPED2-AS1	Tumor-loss LOCKs	common PMDs	0.786919028040864	NE2_KYSE450.T	KYSE450	0.786919028040864
PAX6	Tumor-loss LOCKs	common PMDs	-0.620242577706344	NE2_KYSE450.T	KYSE450	-0.620242577706344
PAUPAR	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
WT1	Tumor-loss LOCKs	common PMDs	0.275805648720187	NE2_KYSE450.T	KYSE450	0.275805648720187
WT1-AS	Tumor-loss LOCKs	common PMDs	-0.531170029991486	NE2_KYSE450.T	KYSE450	-0.531170029991486
